timestamp_ms,distance_cm,valid_samples,ground_truth
0,30.31,7,30
100,30.32,7,30
200,30.31,7,30
300,30.31,7,30
400,30.31,7,30
500,30.32,7,30
600,30.31,7,30
700,30.32,7,30
800,30.31,7,30
900,30.31,7,30
1000,30.31,7,30
1100,30.31,7,30
1200,30.32,7,30
1300,30.32,7,30
1400,30.31,7,30
1500,30.32,7,30
1600,30.31,7,30
1700,30.32,7,30
1800,30.31,7,30
1900,30.31,7,30
2000,30.31,7,30
2100,30.32,7,30
2200,30.32,7,30
2300,30.32,7,30
2400,30.32,7,30
2500,30.31,7,30
2600,30.31,7,30
2700,30.31,7,30
2800,30.31,7,30
2900,30.31,7,30
3000,30.31,7,30
3100,30.31,7,30
3200,30.31,7,30
3300,30.31,7,30
3400,30.31,7,30
3500,30.31,7,30
3600,30.31,7,30
3700,30.31,7,30
3800,30.31,7,30
3900,30.32,7,30
4000,30.31,7,30
4100,30.32,7,30
4200,30.32,7,30
4300,30.32,7,30
4400,30.32,7,30
4500,30.31,7,30
4600,30.31,7,30
4700,30.31,7,30
4800,30.31,7,30
4900,30.31,7,30
5000,30.31,7,30
5100,30.31,7,30
5200,30.31,7,30
5300,30.32,7,30
5400,30.43,7,30
5500,30.32,7,30
5600,30.31,7,30
5700,30.63,7,30
5800,30.84,7,30
5900,30.84,7,30
6000,30.84,7,30
6100,30.84,7,30
6200,30.84,7,30
6300,30.84,7,30
6400,30.84,7,30
6500,30.84,7,30
6600,30.82,7,30
6700,30.84,7,30
6800,30.84,7,30
6900,30.82,7,30
7000,30.84,7,30
7100,30.84,7,30
7200,30.82,7,30
7300,30.84,7,30
7400,30.84,7,30
7500,30.82,7,30
7600,30.41,7,30
7700,30.31,7,30
7800,30.31,7,30
7900,30.31,7,30
8000,30.34,7,30
8100,30.31,7,30
8200,29.79,7,30
8300,29.79,7,30
8400,30.42,7,30
8500,30.58,7,30
8600,29.29,7,30
8700,29.89,7,30
8800,30.05,7,30
8900,30.06,7,30
9000,30.05,7,30
9100,30.05,7,30
9200,30.37,7,30
