timestamp_ms ,valid_samples ,distance_cm,70
13148,78.54,7,70
12433,79.65,7,70
12552,79.22,7,70
12672,78.51,7,70
12790,78.64,7,70
12909,78.76,7,70
13029,78.49,7,70
13148,78.54,7,70
12433,79.65,7,70
12552,79.22,7,70
12672,78.51,7,70
12790,78.64,7,70
12909,78.76,7,70
13029,78.49,7,70
13148,78.54,7,70
100,69.91,7,70
215,69.18,7,70
330,69.1,7,70
445,69.09,7,70
560,69.73,7,70
675,70.19,7,70
791,69.71,7,70
906,68.8,7,70
1020,68.31,7,70
1136,68.0,7,70
1250,67.89,7,70
1364,67.88,7,70
1479,67.89,7,70
1594,68.03,7,70
1709,68.53,7,70
1823,68.57,7,70
1938,68.58,7,70
2053,68.65,7,70
2168,68.65,7,70
2283,68.64,7,70
2398,68.63,7,70
2512,68.63,7,70
2627,68.64,7,70
2743,68.73,7,70
2857,69.09,7,70
2972,69.09,7,70
3088,69.63,7,70
3203,70.0,7,70
3318,69.91,7,70
3433,69.75,7,70
3549,69.33,7,70
3664,69.57,7,70
3779,69.39,7,70
3895,69.32,7,70
4009,69.4,7,70
4124,69.54,7,70
4240,69.87,7,70
4356,69.78,7,70
4470,69.69,7,70
4586,69.64,7,70
4702,69.64,7,70
4816,69.48,7,70
4932,69.1,7,70
5047,69.1,7,70
5163,69.55,7,70
5277,69.93,7,70
5393,70.02,7,70
5508,70.3,7,70
5623,69.92,7,70
5739,69.47,7,70
5855,69.42,7,70
5969,69.31,7,70
6085,69.55,7,70
6200,69.82,7,70
6316,69.66,7,70
6430,69.57,7,70
6546,69.65,7,70
6662,70.27,7,70
6776,70.45,7,70
6892,70.38,7,70
7008,70.63,7,70
7123,70.09,7,70
7239,70.38,7,70
7355,70.14,7,70
7470,65.18,7,70
7583,66.81,7,70
7697,63.94,7,70
7811,75.83,7,70
7928,77.37,7,70
8047,64.55,7,70
8161,73.43,7,70
8278,66.17,7,70
8391,64.98,7,70
8505,71.71,7,70
8621,67.35,7,70
8734,70.83,7,70
8850,70.82,7,70
8966,70.71,7,70
9081,70.72,7,70
9197,70.28,7,70
9313,69.91,7,70
9428,69.35,7,70
9543,69.25,7,70
9658,69.19,7,70
9774,69.64,7,70
9888,70.18,7,70
10004,70.18,7,70
10120,70.45,7,70
10235,70.45,7,70
10351,70.73,7,70
10466,70.45,7,70
10580,69.92,7,70
10695,69.82,7,70
10811,69.45,7,70
10926,68.82,7,70
11041,68.74,7,70
11156,68.65,7,70
11271,69.03,7,70
11386,68.97,7,70
11501,69.1,7,70
11616,69.54,7,70
11731,69.46,7,70
11847,69.45,7,70
11962,69.54,7,70
12078,69.53,7,70
12192,69.26,7,70
12308,69.1,7,70
12423,69.17,7,70
12538,68.98,7,70
12653,69.09,7,70
12769,69.12,7,70
12883,68.97,7,70
12998,69.03,7,70
13114,69.1,7,70
13229,69.56,7,70
13344,69.45,7,70
13459,69.19,7,70
13575,69.1,7,70
13689,69.28,7,70
13805,69.73,7,70
13920,70.01,7,70
14035,70.01,7,70
14151,69.92,7,70
14267,69.82,7,70
14382,69.64,7,70
14497,69.35,7,70
14613,69.21,7,70
14728,69.54,7,70
14843,69.55,7,70
14958,69.55,7,70
15074,69.1,7,70
15188,69.08,7,70
15304,68.88,7,70
15419,69.1,7,70
15534,69.56,7,70
15649,69.55,7,70
15765,69.55,7,70
15880,69.08,7,70
15995,68.89,7,70
16110,61.44,7,70
16222,69.12,7,70
16337,69.1,7,70
16452,69.1,7,70
16568,69.29,7,70
16683,69.37,7,70
16798,69.46,7,70
16913,69.56,7,70
17029,69.55,7,70
17144,69.55,7,70
17259,69.45,7,70
17375,69.47,7,70
17489,70.15,7,70
17605,70.72,7,70
17721,70.68,7,70
17837,70.91,7,70
17952,70.63,7,70
18068,70.38,7,70
18184,70.37,7,70
18299,70.29,7,70
18415,70.46,7,70
18531,70.1,7,70
18647,69.64,7,70
18762,69.31,7,70
18877,69.58,7,70
18993,69.82,7,70
19108,69.83,7,70
19223,69.79,7,70
19339,69.78,7,70
19454,69.76,7,70
19569,69.57,7,70
19685,69.41,7,70
19801,69.71,7,70
19915,70.02,7,70
20031,70.46,7,70
20147,69.85,7,70
20262,69.4,7,70
20377,69.36,7,70
20492,69.28,7,70
20608,69.2,7,70
20722,69.02,7,70
20838,69.21,7,70
20953,69.04,7,70
21067,69.66,7,70
21182,70.01,7,70
21298,69.58,7,70
21413,69.94,7,70
21528,69.83,7,70
21644,69.74,7,70
21760,70.0,7,70
21875,70.36,7,70
21991,70.46,7,70
22106,70.39,7,70
22221,69.92,7,70
22337,69.58,7,70
22453,69.31,7,70
22567,69.64,7,70
22683,69.38,7,70
22799,69.58,7,70
22914,69.62,7,70
23029,70.18,7,70
23145,70.0,7,70
23260,69.86,7,70
23375,69.85,7,70
23491,69.59,7,70
23607,69.68,7,70
23721,69.72,7,70
23837,70.09,7,70
23953,69.81,7,70
24068,69.98,7,70
24183,69.88,7,70
24299,70.07,7,70
24415,70.01,7,70
24529,69.91,7,70
24645,69.56,7,70
24761,69.56,7,70
24876,69.66,7,70
24991,69.57,7,70
25107,69.83,7,70
25222,69.54,7,70
25337,69.55,7,70
25452,69.55,7,70
25568,69.47,7,70
25683,69.47,7,70
25798,69.57,7,70
25914,69.56,7,70
26029,69.7,7,70
26144,70.0,7,70
26260,70.16,7,70
26376,70.11,7,70
26491,70.14,7,70
26606,70.13,7,70
26722,69.66,7,70
26838,69.55,7,70
26953,69.3,7,70
27068,69.09,7,70
27184,69.12,7,70
27298,66.61,7,70
27412,69.6,7,70
27527,69.65,7,70
27642,69.65,7,70
27758,70.0,7,70
27874,70.48,7,70
27990,70.24,7,70
28104,69.99,7,70
28220,69.81,7,70
28336,69.78,7,70
28451,69.71,7,70
28566,70.0,7,70
28682,70.71,7,70
28797,70.45,7,70
28913,69.92,7,70
29029,69.95,7,70
29145,69.55,7,70
29259,69.55,7,70
29375,69.6,7,70
29490,70.07,7,70
29605,70.02,7,70
29721,69.47,7,70
29837,69.56,7,70
29952,69.56,7,70
30067,69.47,7,70
30182,69.21,7,70
30298,69.41,7,70
30412,69.5,7,70
30528,69.48,7,70
30644,69.95,7,70
30758,69.96,7,70
30874,69.69,7,70
30990,69.39,7,70
31105,69.1,7,70
31220,69.12,7,70
31335,69.21,7,70
31451,69.38,7,70
31565,69.86,7,70
31681,70.15,7,70
31797,69.76,7,70
31912,69.56,7,70
32027,69.25,7,70
32143,69.61,7,70
32258,70.0,7,70
32373,69.82,7,70
32489,69.64,7,70
32604,69.55,7,70
32719,69.1,7,70
32834,60.74,7,70
32947,68.6,7,70
33061,68.34,7,70
33176,68.36,7,70
33291,68.62,7,70
33405,68.83,7,70
33521,69.03,7,70
33636,69.11,7,70
33751,69.13,7,70
33866,69.22,7,70
33981,66.54,7,70
34095,69.26,7,70
34210,69.5,7,70
34325,69.61,7,70
34441,69.65,7,70
34556,69.79,7,70
34671,69.55,7,70
34787,69.61,7,70
34903,70.07,7,70
35017,70.05,7,70
35133,70.45,7,70
35249,70.54,7,70
35364,70.09,7,70
35480,69.86,7,70
35596,69.79,7,70
35710,69.48,7,70
35826,64.2,7,70
35939,69.4,7,70
36055,69.65,7,70
36169,69.56,7,70
36285,69.5,7,70
36401,69.59,7,70
36515,69.27,7,70
36631,69.47,7,70
36746,69.79,7,70
36861,70.07,7,70
36977,69.99,7,70
37092,69.67,7,70
37208,69.79,7,70
37323,70.28,7,70
37439,70.98,7,70
37555,70.55,7,70
37670,69.64,7,70
37786,69.46,7,70
37901,69.63,7,70
38017,69.61,7,70
38131,69.2,7,70
38247,69.18,7,70
38362,69.19,7,70
38477,69.33,7,70
38592,69.33,7,70
38708,69.1,7,70
38822,68.91,7,70
38937,68.85,7,70
39053,69.11,7,70
39168,69.49,7,70
39283,69.86,7,70
39398,70.16,7,70
39514,69.94,7,70
39629,69.58,7,70
39745,69.4,7,70
39860,69.23,7,70
39975,69.1,7,70
40090,69.1,7,70
40206,69.1,7,70
40321,69.03,7,70
40435,69.1,7,70
40551,68.95,7,70
40666,69.02,7,70
40781,69.01,7,70
40896,64.35,7,70
41009,68.75,7,70
41124,68.85,7,70
41239,68.77,7,70
41354,68.68,7,70
41468,68.92,7,70
41584,68.65,7,70
41699,68.18,7,70
41814,68.19,7,70
41928,68.36,7,70
42043,68.46,7,70
42158,68.64,7,70
