timestamp_ms ,valid_samples ,distance_cm,80
0,80.93,7,80
100,93.52,7,80
224,81.33,7,80
345,80.2,7,80
463,79.15,7,80
583,79.84,7,80
702,79.4,7,80
822,79.47,7,80
941,77.99,7,80
1059,76.25,7,80
1177,78.03,7,80
1296,80.77,7,80
1416,81.08,7,80
1536,84.5,4,80
1665,88.3,6,80
1788,87.98,7,80
1911,89.4,7,80
2034,91.1,6,80
2162,91.23,7,80
2287,91.53,3,80
2417,88.65,7,80
2541,89.42,7,80
2665,87.57,7,80
2787,88.26,7,80
2910,88.02,7,80
3033,84.81,7,80
3154,82.16,7,80
3275,81.27,7,80
3395,80.68,7,80
3515,81.48,7,80
3635,81.96,7,80
3756,81.27,7,80
3875,81.17,7,80
3995,82.11,7,80
4116,82.47,7,80
4237,81.26,7,80
4357,81.01,7,80
4476,80.15,7,80
4596,79.75,7,80
4716,79.83,7,80
4835,79.38,7,80
4955,78.92,7,80
5073,79.02,7,80
5193,79.32,7,80
5312,79.38,7,80
5432,79.14,7,80
5551,78.77,7,80
5669,78.96,7,80
5789,79.17,7,80
5908,79.39,7,80
6027,79.4,7,80
6147,79.29,7,80
6265,79.01,7,80
6385,78.8,7,80
6504,78.88,7,80
6623,79.65,7,80
6743,79.84,7,80
6862,79.37,7,80
6981,79.28,7,80
7101,79.13,7,80
7220,78.94,7,80
7339,78.94,7,80
7458,78.94,7,80
7577,79.37,7,80
7696,79.49,7,80
7816,79.2,7,80
7936,78.84,7,80
8054,78.63,7,80
8173,78.42,7,80
8292,78.23,7,80
8411,78.18,7,80
8529,78.22,7,80
8648,78.31,7,80
8767,78.3,7,80
8886,78.3,7,80
9006,78.33,7,80
9124,78.31,7,80
9243,78.22,7,80
9362,78.15,7,80
9481,78.21,7,80
9600,78.15,7,80
9718,78.05,7,80
9837,77.96,7,80
9956,77.96,7,80
10075,77.89,7,80
10193,77.86,7,80
10312,77.7,7,80
10430,77.69,7,80
10549,77.63,7,80
10668,77.69,7,80
10786,77.83,7,80
10905,78.04,7,80
11024,78.1,7,80
11143,78.2,7,80
11261,78.15,7,80
11380,78.05,7,80
11499,78.06,7,80
11618,78.06,7,80
11737,78.03,7,80
11855,77.99,7,80
11974,77.96,7,80
12093,77.98,7,80
12212,78.15,7,80
12331,78.15,7,80
12449,78.14,7,80
12568,78.15,7,80
12687,78.15,7,80
12806,78.22,7,80
12924,78.22,7,80
13043,78.23,7,80
13162,78.29,7,80
13281,78.33,7,80
13401,78.33,7,80
13519,78.41,7,80
13638,78.42,7,80
13757,78.4,7,80
13876,78.5,7,80
13995,78.86,7,80
14114,78.76,7,80
14233,78.48,7,80
14352,78.3,7,80
14471,78.3,7,80
14589,78.49,7,80
14709,78.75,7,80
14828,78.42,7,80
14947,78.4,7,80
15066,78.48,7,80
15185,78.5,7,80
15304,78.78,7,80
15423,78.91,7,80
15542,78.95,7,80
15662,78.92,7,80
15780,78.9,7,80
15899,78.77,7,80
16019,78.88,7,80
16138,78.87,7,80
16257,78.8,7,80
16376,78.52,7,80
16495,78.41,7,80
16614,78.4,7,80
16733,78.4,7,80
16851,78.69,7,80
16971,78.87,7,80
17090,78.43,7,80
17209,78.4,7,80
17328,78.4,7,80
17446,78.73,7,80
17566,78.88,7,80
17685,78.42,7,80
17804,78.42,7,80
17923,78.68,7,80
18042,78.43,7,80
18161,78.33,7,80
18280,78.32,7,80
18399,78.31,7,80
18518,78.39,7,80
18636,78.76,7,80
18756,78.85,7,80
18875,78.85,7,80
18994,78.68,7,80
19112,78.42,7,80
19232,78.34,7,80
19351,78.28,7,80
19470,78.28,7,80
19589,78.4,7,80
19707,78.46,7,80
19826,78.78,7,80
19946,78.64,7,80
20065,78.33,7,80
20184,78.3,7,80
20302,78.3,7,80
20421,78.33,7,80
20540,78.64,7,80
20660,78.6,7,80
20779,78.36,7,80
20897,78.31,7,80
21016,78.3,7,80
21135,78.33,7,80
21254,78.32,7,80
21373,78.32,7,80
21492,78.29,7,80
21611,78.28,7,80
21730,78.3,7,80
